,0
 'states',933
 'united',916
 'people',896
 'one',893
 'government',877
 'time',875
 'country',869
 'may',865
 'would',865
 'great',852
 'made',840
 'every',839
 'us',816
 'must',804
 'make',802
 'new',788
 'american',786
 'also',783
 'first',779
 'many',777
 'well',765
 'good',752
 'without',751
 'nation',749
 'last',748
 'congress',747
 'part',746
 'years',745
 'world',735
 'war',729
 'president',725
 'day',723
 'it',721
 'power',718
 'two',711
 'could',708
 'much',707
 'take',704
 'long',704
 'peace',701
 'upon',701
 'nations',701
 'give',695
 'state',694
 'them',689
 'right',679
 'even',675
 'national',673
 'way',670
 'public',655
 'still',653
 'citizens',649
 'year',648
 'america',642
 'never',640
 'act',639
 'far',635
 'free',631
 'hope',631
 'within',629
 'necessary',628
 'since',628
 'important',627
 'work',627
 'future',626
 'place',624
 'men',623
 'means',612
 'come',611
 'law',611
 'not',608
 'said',600
 'life',599
 'like',598
 'shall',598
 'done',593
 'another',589
 'yet',586
 'house',585
 'end',584
 'believe',584
 'know',584
 'others',583
 'best',583
 'given',580
 'present',580
 'course',578
 'action',576
 'purpose',573
 'might',573
 'ever',572
 'together',571
 'see',569
 'say',569
 'among',568
 'support',566
 'order',564
 'general',563
 'use',561
 'less',556
 'full',549
 'continue',549
 'policy',549
 'history',548
 'force',547
 'need',545
 'security',544
 'today',544
 'foreign',543
 'military',540
 'rights',540
 'already',534
 'better',534
 'want',534
 'interest',530
 'whether',529
 'taken',529
 'past',528
 'always',527
 'progress',527
 'duty',524
 'whole',524
 'home',523
 'meet',523
 'and',522
 'system',521
 'that',518
 'possible',518
 'let',513
 'bring',511
 'making',510
 'therefore',509
 'become',507
 'political',505
 'now',504
 'all',503
 'you',501
 'fact',500
 'put',500
 'ago',500
 'go',500
 'find',495
 'justice',493
 'can',492
 'spirit',491
 'freedom',491
 'think',491
 'high',488
 'question',485
 'union',483
 'service',478
 'land',476
 'things',476
 'americans',476
 'next',475
 'interests',473
 'times',473
 'common',472
 'true',470
 'laws',469
 'opportunity',469
 'able',468
 'countries',467
 'certain',464
 'reason',463
 'help',463
 'toward',462
 'three',460
 'members',460
 'subject',459
 'however',459
 'change',458
 'authority',457
 'call',457
 'provide',457
 'administration',457
 'found',455
 'cause',455
 'effort',451
 'set',451
 'days',450
 'whose',446
 'either',443
 'man',443
 'called',442
 'washington',441
 'period',441
 'protect',441
 'number',440
 'back',440
 'secretary',438
 'respect',437
 'second',436
 'several',435
 'business',433
 'little',432
 'nothing',430
 'result',429
 'control',427
 'keep',426
 'senate',425
 'lives',425
 'large',424
 'efforts',424
 'special',423
 'strong',422
 'office',422
 'greater',421
 'forces',421
 'governments',420
 'matter',420
 'months',419
 'representatives',418
 'brought',418
 'passed',417
 'confidence',416
 'secure',416
 'this',415
 'clear',414
 'different',409
 'effect',408
 'view',408
 'small',408
 'is',407
 'human',406
 'federal',405
 'constitution',404
 'beyond',403
 'ask',402
 'powers',401
 'sense',401
 'increase',400
 'strength',399
 'left',399
 'principles',398
 'money',396
 'live',394
 'trade',394
 'known',393
 'point',391
 'alone',391
 'stand',390
 'faith',389
 'prosperity',388
 'responsibility',388
 'thank',387
 'look',387
 'executive',387
 'care',384
 'almost',384
 'soon',382
 'measures',382
 'economic',382
 'thus',382
 'hand',381
 'legislation',380
 'seen',379
 'pay',378
 'honor',377
 'civil',377
 'case',376
 'going',376
 'get',376
 'face',375
 'resources',375
 'real',374
 'moment',373
 'sure',373
 'children',371
 'old',371
 'me',370
 'whatever',369
 'millions',369
 'prevent',368
 'throughout',367
 'defense',367
 'liberty',367
 'protection',366
 'thought',366
 'attention',365
 'relations',364
 'remain',364
 'kind',363
 'especially',362
 'equal',361
 'used',360
 'private',360
 'working',360
 'character',359
 'maintain',359
 'single',359
 'require',359
 'mr',359
 'including',359
 'open',359
 'essential',359
 'proper',358
 'economy',358
 'received',358
 'return',357
 'entire',356
 'held',356
 'away',355
 'nearly',353
 'be',353
 'though',353
 'longer',353
 'early',352
 'regard',352
 'doubt',351
 'finally',351
 'individual',350
 'taking',350
 'party',350
 'hold',350
 'lead',349
 'plan',349
 'form',349
 'aid',348
 'four',348
 'terms',348
 'success',348
 'seek',347
 'needs',346
 'friends',346
 'city',345
 'forward',344
 'problems',344
 'independence',344
 'measure',344
 'enough',343
 'recent',343
 'god',343
 'leaders',343
 'international',342
 'south',341
 'fair',341
 'feel',341
 'difficult',341
 'provided',340
 'fully',339
 'consideration',339
 'close',338
 'serious',337
 'do',337
 'carry',337
 'share',336
 'required',335
 'experience',333
 'came',332
 'greatest',331
 'least',331
 'desire',331
 'europe',330
 'conditions',328
 'example',328
 'around',328
 'so',327
 'parties',327
 'women',327
 'commerce',327
 'safety',326
 'beginning',326
 'established',326
 'speak',325
 'information',325
 'will',324
 'questions',324
 'words',324
 'hands',324
 'took',324
 'often',323
 'rest',323
 'increased',323
 'report',322
 'here',322
 'issue',322
 'leave',322
 'proposed',322
 'met',321
 'department',319
 'family',318
 'labor',317
 'asked',317
 'opinion',317
 'fellow',316
 'side',316
 'understand',315
 'community',314
 'arms',314
 'million',313
 'half',312
 'purposes',312
 'local',312
 'serve',312
 'message',311
 'build',311
 'circumstances',311
 'bill',311
 'across',310
 'immediate',310
 'young',310
 'cost',309
 'north',307
 'families',307
 'something',307
 'continued',306
 'which',305
 'importance',304
 'affairs',303
 'duties',303
 'third',303
 'republic',302
 'due',301
 'acts',300
 'to',300
 'thing',300
 'position',300
 'danger',299
 'existing',299
 'other',299
 'personal',299
 'instead',298
 'trust',298
 'are',297
 'abroad',297
 'were',297
 'coming',297
 'development',296
 'complete',296
 'rather',296
 'ready',296
 'again',296
 'judgment',296
 'hard',295
 'immediately',295
 'necessity',295
 'determined',294
 'capital',294
 'institutions',294
 'peaceful',294
 'condition',293
 'lost',292
 'committed',292
 'industry',292
 'there',292
 'agreement',292
 'additional',291
 'cooperation',291
 'session',290
 'line',290
 'principle',290
 'officers',289
 'along',289
 'constitutional',288
 'tell',288
 'situation',288
 'century',287
 'prepared',287
 'social',287
 'citizen',287
 'treaty',287
 'reach',286
 'territory',286
 'decision',284
 'mind',284
 'amount',284
 'unless',284
 'exercise',284
 'basis',283
 'provisions',283
 'conduct',282
 'domestic',281
 'step',281
 'created',280
 'person',280
 'needed',279
 'ought',279
 'program',278
 'highest',277
 'then',277
 'show',277
 'giving',277
 'turn',277
 'permanent',276
 'fail',276
 'ability',276
 'except',275
 'job',275
 'peoples',275
 'building',274
 'engaged',274
 'willing',274
 'pass',274
 'answer',273
 'leadership',273
 'create',273
 'move',273
 'chief',273
 'armed',273
 'growing',273
 'meeting',273
 'the',272
 'value',272
 'problem',272
 'none',272
 'effective',272
 'conflict',272
 'property',272
 'neither',271
 'influence',271
 'occasion',270
 'health',270
 'living',269
 'makes',269
 'cases',269
 'ways',269
 'task',269
 'remember',269
 'extent',269
 'promise',269
 'east',268
 'join',268
 'mean',267
 'fear',267
 '2',267
 'sent',267
 'direct',267
 'safe',266
 'white',266
 'final',265
 'ground',265
 'provision',265
 'army',265
 'particular',265
 'expect',265
 'short',264
 'wish',264
 'independent',264
 'americas',263
 'themselves',263
 'society',263
 'steps',263
 'results',263
 'direction',263
 'attempt',262
 'thousands',262
 'following',261
 'process',261
 'deal',261
 'growth',261
 'fight',261
 'indeed',261
 'increasing',261
 'providing',261
 'nature',260
 'parts',260
 'paid',260
 'stop',260
 'advantage',259
 'courage',258
 'consider',258
 'facts',258
 'persons',258
 'gave',258
 'itself',258
 'proud',258
 'chance',257
 'based',257
 'demand',257
 'determination',256
 'wisdom',256
 'earth',255
 'i',255
 'education',255
 'rule',255
 'preserve',255
 'follow',255
 'march',255
 'produce',255
 'reduce',254
 'receive',254
 'treasury',254
 'everything',254
 '1',254
 'in',254
 'majority',254
 'recognize',254
 'energy',254
 'troops',253
 'distinguished',253
 'late',253
 'begin',253
 'advance',253
 'places',253
 'before',253
 'love',253
 'successful',253
 'five',251
 'adopted',251
 'manner',251
 'reached',250
 'favor',250
 'heart',250
 'really',249
 'former',249
 'involved',249
 'on',248
 'afford',248
 'ahead',248
 'knowledge',247
 'struggle',247
 'powerful',247
 'allies',246
 'field',246
 'have',246
 'responsible',246
 'organization',246
 'violence',246
 'concerned',245
 'vast',245
 'differences',245
 'seem',244
 'later',244
 'welfare',244
 'west',244
 'percent',244
 'perhaps',243
 'major',243
 'simple',242
 'body',242
 'talk',242
 'became',242
 'total',242
 '3',242
 'believed',242
 'individuals',242
 'benefit',241
 'carried',240
 '4',240
 'for',240
 'requires',240
 'save',240
 'object',239
 'accept',239
 'defend',238
 'adequate',238
 'vital',238
 'anything',238
 'clearly',238
 'permit',238
 'cities',238
 'age',238
 'particularly',237
 'told',237
 'attack',237
 'tax',237
 'sought',237
 'tonight',237
 'limits',237
 'offer',237
 'price',237
 'debt',237
 'matters',236
 '10',236
 'behind',236
 'recently',236
 'truth',236
 'month',236
 'race',235
 'placed',235
 'wrong',235
 'benefits',234
 'enterprise',234
 'higher',233
 'concern',233
 'credit',233
 'settlement',233
 'sufficient',233
 'mutual',232
 'obligations',232
 'limited',232
 'week',232
 'dangerous',232
 'record',232
 'election',232
 'felt',232
 'generation',232
 'directly',232
 'rate',232
 'hundred',231
 'choice',231
 'easy',231
 'degree',231
 'crisis',231
 'own',231
 'establish',230
 'democracy',230
 'up',229
 'promote',229
 'events',229
 'operation',229
 'directed',229
 'although',229
 'considered',229
 'comes',229
 'democratic',228
 'taxes',228
 'remains',228
 'add',228
 'establishment',227
 'seems',227
 'moral',227
 'equally',227
 'entitled',227
 'dollars',227
 'population',226
 'understanding',226
 'vote',226
 'difference',226
 'too',225
 'actually',225
 'negotiations',225
 'views',225
 'send',225
 'extend',225
 'led',225
 'demands',225
 'expressed',224
 'weve',224
 'built',224
 'authorities',224
 'failure',224
 'gone',224
 'republican',223
 'probably',222
 'legislative',222
 'extraordinary',222
 'simply',222
 'court',221
 'evidence',221
 'laid',221
 'sound',220
 'production',220
 'destruction',220
 'cut',220
 'agree',220
 'neighbors',220
 'im',220
 'jobs',220
 'addition',219
 'try',219
 '5',219
 'capacity',219
 'various',219
 'presented',219
 'weeks',218
 'hopes',218
 'middle',218
 'challenge',218
 'kept',218
 'class',217
 'deep',217
 'wise',217
 'reasonable',217
 'more',217
 'similar',216
 'agreed',216
 'express',216
 'minister',216
 'claim',216
 'commission',216
 'obligation',215
 'responsibilities',215
 'destroy',215
 'reduced',214
 'accomplished',214
 'works',214
 'out',214
 'otherwise',214
 'merely',214
 'light',214
 'natural',214
 'plans',214
 'authorized',213
 'else',213
 'available',213
 'start',213
 'run',213
 'thats',213
 'existence',212
 'market',211
 'declared',211
 'heard',211
 'according',211
 'reasons',210
 'china',210
 'fighting',210
 'date',210
 'went',210
 'employment',210
 'worked',210
 'relief',210
 'realize',209
 'recommend',209
 'began',209
 'failed',209
 'expected',209
 'strengthen',209
 'air',209
 'extended',208
 'wars',208
 'issues',208
 'fundamental',208
 'allowed',208
 'source',208
 'press',208
 'previous',208
 'signed',207
 'reduction',207
 'portion',207
 'certainly',206
 'revenue',206
 'reform',206
 'test',206
 'threat',205
 'actual',204
 'construction',204
 'western',204
 'balance',204
 'changes',204
 'lands',204
 'happy',203
 'sacrifice',203
 'assistance',203
 'pacific',203
 'enable',203
 'name',203
 'trying',202
 'constant',202
 'ive',202
 'weapons',202
 'commitment',202
 'him',202
 'legal',202
 'group',202
 'burden',201
 'submitted',201
 'impossible',201
 'shown',201
 'exist',201
 'financial',201
 'operations',201
 'difficulties',200
 'deeply',200
 'areas',200
 'near',200
 'supply',200
 'central',199
 'friendly',199
 'dignity',199
 'january',199
 'mission',198
 'commercial',198
 'navy',198
 'greatly',198
 'annual',198
 'achieve',197
 'revolution',197
 'policies',197
 '20',197
 'values',197
 'happen',197
 'official',197
 '30',197
 'governor',196
 'billion',196
 'conclusion',196
 'homes',195
 'john',195
 'practical',195
 'avoid',195
 'communities',195
 'followed',195
 'imposed',194
 'allow',194
 'material',194
 'six',194
 'death',194
 'a',194
 'enter',194
 'maintained',194
 'modern',194
 'fall',193
 'worlds',193
 'loss',193
 'current',193
 'july',193
 'britain',193
 'member',192
 'programs',192
 'lines',192
 'workers',192
 'night',191
 'supreme',191
 'causes',191
 'lot',191
 'we',191
 'restore',191
 'food',191
 'leading',190
 'ordinary',190
 'goal',190
 'resolution',190
 'services',190
 'naval',190
 'friendship',189
 'france',189
 'schools',189
 'carrying',189
 'subjects',189
 'organized',188
 'gives',188
 'improve',188
 'big',188
 'evil',188
 'internal',188
 'standing',188
 'determine',188
 'larger',188
 'rules',187
 '12',187
 'appropriate',187
 'basic',187
 'sometimes',186
 'saw',186
 'recognized',186
 'funds',186
 'civilization',186
 'word',186
 'execution',186
 'sea',186
 'humanity',186
 'hours',185
 'child',185
 'consequences',185
 'discussion',185
 'encourage',185
 'convention',184
 'address',184
 'wealth',184
 'september',184
 'delay',184
 'changed',184
 'threatened',184
 'aggression',184
 'level',184
 'raise',184
 'stated',184
 'battle',184
 'rates',184
 'claims',183
 'decisions',183
 'grow',183
 'mexico',183
 'joint',183
 'permitted',183
 'british',182
 'pledge',182
 'bear',182
 'secured',182
 'looking',182
 'european',182
 'asia',182
 'account',182
 'statement',182
 'helped',181
 'feeling',181
 'quarter',181
 'numbers',181
 'everywhere',181
 'bless',181
 'got',181
 'products',181
 'cant',181
 'june',181
 'down',180
 'vice',180
 'choose',180
 'served',180
 'nuclear',180
 'added',180
 'lay',180
 'enemy',179
 'soldiers',179
 'practice',179
 'diplomatic',179
 'submit',179
 's',179
 'learned',179
 'develop',179
 'decided',178
 'actions',178
 'read',178
 'generations',178
 'area',178
 'competition',178
 'historic',178
 'school',178
 'pride',178
 'everyone',178
 'satisfactory',178
 'charge',177
 'stronger',177
 'approved',177
 'event',177
 'bringing',177
 'but',177
 'mankind',176
 'honest',176
 'idea',175
 'leaving',175
 'spread',175
 'sum',175
 'u',175
